# Social Network Graph Dataset
# Edges representing friendships/connections between users
# Format: source_id,target_id,weight,relationship_type
# Weight represents connection strength (1-10)
# Relationship types: friend, colleague, family, acquaintance
source_id,target_id,weight,relationship_type
0,1,8,friend
0,2,6,colleague
0,5,9,family
1,2,4,acquaintance
1,3,7,friend
1,6,5,colleague
2,3,3,acquaintance
2,4,6,friend
2,7,4,colleague
3,4,8,friend
3,5,2,acquaintance
4,5,5,friend
4,8,7,colleague
5,6,6,friend
5,9,8,family
6,7,9,friend
6,10,4,colleague
7,8,5,friend
7,11,6,acquaintance
8,9,7,friend
8,12,3,colleague
9,10,4,acquaintance
9,13,8,family
10,11,6,friend
10,14,5,colleague
11,12,7,friend
11,15,4,acquaintance
12,13,5,colleague
12,16,6,friend
13,14,8,family
13,17,3,acquaintance
14,15,7,friend
14,18,9,colleague
15,16,4,friend
15,19,6,acquaintance
16,17,5,friend
16,0,3,acquaintance
17,18,8,friend
17,1,4,colleague
18,19,6,friend
18,2,5,acquaintance
19,0,7,friend
19,3,4,colleague
