# Word Frequency Dataset for Probabilistic Data Structure Testing
# Simulates web page word frequencies
# Format: word,true_count,category
# Categories: common, technical, proper_noun, rare
word,true_count,category
the,45234,common
algorithm,8923,technical
data,12456,technical
structure,7834,technical
graph,6521,technical
vertex,4123,technical
edge,3892,technical
traversal,2456,technical
breadth,1834,technical
depth,2012,technical
search,9823,common
first,15234,common
queue,3456,technical
stack,3234,technical
node,5678,technical
adjacent,1923,technical
path,4567,technical
shortest,2345,technical
weighted,1567,technical
directed,1234,technical
undirected,987,technical
cycle,2134,technical
tree,3456,technical
binary,4123,technical
heap,2345,technical
priority,1789,technical
hash,3012,technical
function,8934,technical
collision,1456,technical
bloom,892,technical
filter,2345,technical
count,3456,technical
sketch,1234,technical
probabilistic,678,technical
approximation,534,technical
streaming,1123,technical
memory,4567,technical
efficient,2345,common
complexity,1789,technical
analysis,5678,common
implementation,3456,technical
python,6789,technical
programming,8923,technical
computer,7834,common
science,5678,common
research,4567,common
university,3456,proper_noun
student,5678,common
learning,6789,common
artificial,4567,technical
intelligence,5123,technical
machine,6234,technical
network,7123,technical
neural,3456,technical
deep,4567,technical
model,5678,technical
training,3456,technical
dataset,2345,technical
feature,3012,technical
classification,1789,technical
regression,1456,technical
clustering,1234,technical
optimisation,1678,technical
gradient,2123,technical
descent,1567,technical
convergence,987,technical
iteration,1789,technical
recursive,1456,technical
dynamic,2345,technical
programming,8923,technical
memoisation,567,technical
tabulation,456,technical
subproblem,678,technical
optimal,2345,common
solution,4567,common
problem,6789,common
computational,2123,technical
thinking,3456,common
abstraction,1234,technical
decomposition,987,technical
pattern,3456,technical
recognition,2345,technical
automation,1789,common
efficiency,2345,common
scalability,1456,technical
performance,3789,technical
benchmark,1234,technical
testing,4567,technical
validation,2345,technical
verification,1789,technical
correctness,1234,technical
proof,2123,technical
theorem,1567,technical
lemma,456,technical
corollary,234,technical
